1 1:-79.5 2:-57.38028169 3:-79.9378882
1 1:-75.37096774 2:-59.16030534 3:-80.38461538
4 1:-65.5060241 2:-76.22291022 3:-84
2 1:0 2:-86 3:-50.53665284
2 1:0 2:0 3:-67.5
1 1:-73.41176471 2:-44.23809524 3:-79.60142349
3 1:-57.21153846 2:-64.11320755 3:-81.19230769
2 1:0 2:0 3:-54
3 1:-55.35251799 2:-65.72972973 3:-84
1 1:-65 2:-51.45454545 3:-84
2 1:0 2:-74.62745098 3:-56.82435597
4 1:0 2:-76 3:0
3 1:-48.60240964 2:-58.26086957 3:0
3 1:-43.74358974 2:-62.69005848 3:-82
1 1:-78.54545455 2:-55.11111111 3:-78
1 1:-69.95918367 2:-44.5 3:-73.74193548
1 1:-72 2:-54.96 3:-78
3 1:-59.0754717 2:-66.15197568 3:-82.7961165
1 1:-65.01886792 2:-44.36153846 3:-78.57522124
4 1:-69.70149254 2:-75.73737374 3:-74.14285714
3 1:-58.63235294 2:-65.72727273 3:-81.56097561
3 1:0 2:-62.03883495 3:-81.45454545
2 1:0 2:-86 3:-58
3 1:-58.72727273 2:-74.5 3:0
4 1:-70.61904762 2:-73.34306569 3:-83.95041322
3 1:0 2:-65.77777778 3:0
1 1:-76.08695652 2:-62.35294118 3:-79.41666667
3 1:-57.11111111 2:-74 3:0
2 1:0 2:0 3:-52
1 1:-68.35087719 2:-48.83419689 3:-76.69491525
1 1:-77.42635659 2:-56.6031746 3:-81.15138593
3 1:-62.8 2:-66.85714286 3:0
1 1:-68.66666667 2:-49.27272727 3:-76
3 1:-57.33333333 2:-68 3:0
1 1:-78 2:-60 3:-66
3 1:-68.18181818 2:-82.93333333 3:0
2 1:0 2:-75.39130435 3:-51.2051756
3 1:0 2:-70.92957746 3:0
3 1:-57.6875 2:-65.95555556 3:-84.76190476
2 1:0 2:0 3:-44
1 1:-66 2:-47.74468085 3:-75.1713555
1 1:-67.21311475 2:-41.24618736 3:-79.35772358
4 1:-69.14285714 2:-80 3:-78
3 1:0 2:-60.8 3:0
2 1:0 2:-86 3:-58
3 1:-54 2:0 3:-85.77777778
1 1:-72.62721893 2:-57.66101695 3:-69.81967213
1 1:-71 2:-58.57142857 3:-70
4 1:-65.5372549 2:-77.02 3:-84.5
1 1:-72 2:-59 3:-79.6
3 1:-62.18181818 2:0 3:0
4 1:-76 2:-80 3:0
4 1:-66.84615385 2:-79.55440415 3:-79.5
3 1:-56.53061224 2:-69.34782609 3:-82.57142857
2 1:0 2:0 3:-51.55555556
4 1:-75.5 2:-82.2 3:-82
2 1:0 2:-78 3:-32
1 1:-79.83333333 2:-54.34146341 3:-79.85714286
2 1:0 2:0 3:-46.07272727
2 1:-84 2:-78.8 3:-51.70157068
3 1:-50.59090909 2:-64.59813084 3:-86
1 1:-84.5 2:-54.95679012 3:-83.91489362
4 1:-76 2:-84.25 3:0
3 1:-59.46666667 2:-74.3 3:-88
2 1:0 2:0 3:-46
1 1:-67.25 2:-47.5 3:-74
1 1:-70.62068966 2:-56.64285714 3:-70.57142857
3 1:-58.93333333 2:-74.85294118 3:-86
3 1:-52 2:0 3:0
1 1:-73.3307393 2:-48.52836879 3:-77.17001828
1 1:-79.09803922 2:-56.64197531 3:-77.33333333
3 1:-58.6 2:-74.13333333 3:0
4 1:-74 2:-78.90909091 3:0
2 1:0 2:-84 3:-52.33333333
2 1:0 2:-84 3:-52
3 1:0 2:-60 3:0
3 1:-58.66666667 2:-72 3:0
2 1:0 2:-70 3:-50.57142857
1 1:-64.9929078 2:-45.35227273 3:-68.54878049
1 1:-75.38461538 2:-53.69230769 3:-80.78688525
3 1:-58.43386243 2:-65.86092715 3:-81.64966741
1 1:-80.33333333 2:-59.75 3:-80.66666667
3 1:-59.55844156 2:-66.19417476 3:-83
1 1:-75.7540107 2:-45.21448468 3:-81.24561404
2 1:0 2:-82.21052632 3:-59.22653317
3 1:-56.44748858 2:-62.47727273 3:-84.57142857
3 1:-58.25 2:-73.5 3:0
2 1:0 2:-71.52941176 3:-51.61527967
2 1:0 2:-74 3:0
3 1:-64.11764706 2:-72.49122807 3:-86
2 1:0 2:0 3:-58
2 1:0 2:0 3:-54
2 1:-84 2:0 3:0
1 1:-77.49112426 2:-60.11678832 3:-76.09090909
1 1:-67.71428571 2:-48.55555556 3:-73.06666667
1 1:-72.67132867 2:-58.03833866 3:-80.04444444
1 1:-67.42857143 2:-56.02816901 3:-73.83333333
4 1:-64.84716157 2:-67.17567568 3:-81.11111111
1 1:-67.12790698 2:-51.09142857 3:-71.79215686
4 1:-72.56666667 2:-71.8627451 3:-80.65895954
3 1:0 2:-61.33333333 3:0
3 1:-54 2:-62.85714286 3:-84
2 1:0 2:-76.32432432 3:-49.89567809
1 1:-73.25 2:-56.15068493 3:-79.12
3 1:-54.13333333 2:-67.5 3:-83.5
2 1:0 2:0 3:-48.4
2 1:0 2:-80 3:-61.11111111
3 1:-59.15384615 2:-73.5 3:-88
1 1:-72.03703704 2:-45.2 3:-71.17460317
1 1:-67.02439024 2:-49.83333333 3:-78.50890585
4 1:-66.73684211 2:-72.50847458 3:-78.47058824
4 1:-75.45454545 2:-81.89473684 3:-85.91452991
1 1:-76.44444444 2:-50.56666667 3:-73.11111111
3 1:-54.39655172 2:-63.33211009 3:-80.61737089
3 1:-58.08695652 2:-72.21621622 3:0
3 1:-48 2:-67.66666667 3:0
1 1:-66 2:-50 3:0
4 1:-72 2:-82 3:0
1 1:-74 2:-51.71698113 3:-77.04347826
2 1:0 2:0 3:-57.6
1 1:-72.57142857 2:-54 3:-82
3 1:-51.42307692 2:-62.2875 3:-82.03861004
4 1:-76.31578947 2:-81.47826087 3:-70.125
1 1:-70.82758621 2:-53.76923077 3:-80
2 1:0 2:0 3:-59.78947368
2 1:0 2:0 3:-61
1 1:-73.60747664 2:-42.07361963 3:-76.18430034
3 1:-54.33333333 2:-63.33333333 3:-82.90909091
3 1:-55.5 2:-60.66666667 3:0
3 1:-55.75362319 2:-66.28199566 3:-81.72477064
4 1:-64.1459854 2:-77.16030534 3:-83.07142857
3 1:-62 2:-69.85714286 3:-83
3 1:-58.13043478 2:-70.53658537 3:0
2 1:0 2:-76.67692308 3:-59.6547619
3 1:-67.25 2:-76 3:0
2 1:0 2:-76 3:-57.6
2 1:0 2:-78.66666667 3:-36.66666667
3 1:-63.82278481 2:-62.48979592 3:-84
2 1:0 2:-83.07692308 3:-50.05882353
1 1:-83.45945946 2:-57.69736842 3:-83.03543307
1 1:-81.97101449 2:-59.13907285 3:-82.74551971
1 1:-67.90361446 2:-51.36842105 3:-76.70855148
1 1:-71.71428571 2:-49.37777778 3:-78.35483871
4 1:-73 2:-79.89189189 3:-78.38
1 1:-71.25 2:-51.27272727 3:-80
1 1:-68.06896552 2:-51.38996139 3:-77.05532787
2 1:-78 2:-81 3:-53.5
2 1:-82 2:-80.5 3:-57.5
3 1:-54 2:-61.6 3:0
3 1:-53.43 2:-58.49180328 3:-86
3 1:-53.6 2:-60 3:0
1 1:-73.95555556 2:-52.36363636 3:-86
3 1:-48.11702128 2:-70.82352941 3:0
3 1:-57.69230769 2:-68 3:0
1 1:-78.44444444 2:-49.2173913 3:-78
1 1:-67.0625 2:-49.06220096 3:-74.96418733
1 1:-71.6 2:-50 3:-78.66666667
1 1:-67 2:-46.37037037 3:-82
1 1:-68.5 2:-54.90909091 3:-76
1 1:-69.8343949 2:-49.36218679 3:-79.83935743
2 1:0 2:0 3:-59.23076923
3 1:0 2:-73 3:0
3 1:-39.99061033 2:-62.52173913 3:0
3 1:-58.18181818 2:-73.625 3:0
2 1:0 2:-85 3:0
3 1:-53.80963303 2:-59.47406082 3:0
2 1:0 2:-85.33333333 3:0
2 1:0 2:-78 3:-52.57142857
2 1:0 2:-72.2962963 3:-51.78635779
2 1:0 2:-86 3:-46.18181818
3 1:-60 2:-74 3:0
1 1:-72 2:-54.88888889 3:-83
3 1:-61.5 2:-72.66666667 3:0
1 1:-69.75 2:-51.5049505 3:-74.38596491
4 1:-73.27272727 2:-78 3:-76
1 1:-80.17647059 2:-60.66666667 3:-83.03797468
2 1:0 2:-72 3:0
2 1:0 2:-74.72727273 3:-49
2 1:0 2:0 3:-51
2 1:0 2:-80 3:0
2 1:0 2:-71.65714286 3:-53.0011325
1 1:-69.80645161 2:-49.46666667 3:-74
3 1:-56.18552036 2:-64.91869919 3:-80.93069307
3 1:-55.03768116 2:-67.5908046 3:-80
1 1:-66.2739726 2:-48.44578313 3:-76.82857143
2 1:0 2:-76.33333333 3:-54.15384615
3 1:0 2:-78 3:0
4 1:-66 2:-79.25 3:-84.92307692
3 1:-53.06341463 2:-59.54347826 3:0
1 1:-65.24752475 2:-45.09278351 3:-70.51968504
3 1:-63.5 2:-73.15068493 3:-86
3 1:-56.86956522 2:-68.97142857 3:-80.2739726
4 1:-71.22077922 2:-74.5 3:0
1 1:-74.11111111 2:-52.31914894 3:-82.82352941
2 1:-82 2:-80 3:-56.08492201
1 1:-77.8 2:-56.01459854 3:-76.78688525
2 1:0 2:0 3:-49.5
1 1:-67.75 2:-47.38095238 3:-73.98657718
1 1:-75.40909091 2:-59.26451613 3:-79.91208791
2 1:0 2:-74 3:-48
1 1:-75 2:-31.93548387 3:-77.33333333
2 1:-84 2:-73 3:-50.6764977
4 1:-72.66141732 2:-78.01333333 3:-74
2 1:-90 2:0 3:-49.33333333
3 1:-57.61842105 2:-65.4 3:-82.02702703
1 1:-71.77777778 2:-52.07042254 3:-76.73684211
3 1:-62.85714286 2:-60.66666667 3:-85.33333333
3 1:-58.5 2:-73.66666667 3:0
1 1:-73.04494382 2:-56.58389262 3:-68.01320132
2 1:-84 2:-74.0326087 3:-52.96062992
3 1:-62.66666667 2:-60 3:0
3 1:-59.23021583 2:-70.88888889 3:0
2 1:0 2:-83.5 3:-53.33333333
1 1:0 2:-64 3:-80.66666667
1 1:-68.71080139 2:-50.27042254 3:-80.21387283
3 1:-50 2:-61 3:0
4 1:-68.45517241 2:-77.5326087 3:-73.92
3 1:-57.55263158 2:-67.45454545 3:-82
1 1:-73.46153846 2:-55.18918919 3:-79.14285714
2 1:0 2:0 3:-82
3 1:0 2:-60 3:0
3 1:-60 2:-66 3:0
2 1:0 2:-83 3:-57.14285714
3 1:-58 2:-64 3:0
1 1:-77.68571429 2:-57 3:-80.95652174
3 1:-62.1037037 2:-69.26315789 3:0
1 1:-81.61904762 2:-55.58585859 3:-80.73469388
1 1:-72.62135922 2:-56.3989899 3:-69.01382488
1 1:-76.26262626 2:-54.30985915 3:-73.62311558
2 1:0 2:0 3:-29.2
4 1:-63.15254237 2:-73.46846847 3:-72
2 1:0 2:0 3:-51.71428571
1 1:-75.33333333 2:-54.15384615 3:-84
3 1:-51.2 2:0 3:0
3 1:-57.5 2:-73.29411765 3:0
1 1:-80.4040404 2:-61.68181818 3:-80.33333333
4 1:-75 2:-74.96052632 3:-74.47204969
3 1:0 2:-60 3:0
1 1:-70.26666667 2:-49.61764706 3:-81.06053269
1 1:-70.18181818 2:-44.62365591 3:-70.31372549
1 1:-71.6 2:-52.28093645 3:-81.35099338
1 1:-73.1754386 2:-53.15915916 3:-82.17821782
2 1:-84.4 2:-86 3:-56.625
3 1:-59.5 2:-74 3:0
3 1:-64.44444444 2:-71.6 3:-83.4
3 1:-53.18181818 2:-72.28571429 3:-87.7037037
3 1:-59.33333333 2:-73 3:0
1 1:-80 2:-55.38461538 3:-83.2
4 1:-74.64423077 2:-78.25242718 3:-78.25
3 1:-54.94936709 2:-73.97701149 3:0
2 1:-83.5 2:-80 3:-48.8
1 1:-70.05194805 2:-52.77333333 3:-77.94623656
3 1:-55.45454545 2:-65.63636364 3:-81.25
3 1:-52.85035629 2:-59.42507645 3:0
2 1:-86 2:0 3:-45.25714286
3 1:-62 2:0 3:-78
3 1:-63 2:-62.23529412 3:0
2 1:0 2:0 3:-48.14285714
3 1:-61.09090909 2:-59.11111111 3:0
2 1:-88 2:-86 3:-63
3 1:-60.16666667 2:-69.24528302 3:0
3 1:0 2:-61 3:-84
3 1:-62.15384615 2:-72 3:-82.4
2 1:0 2:-86 3:-53.66666667
3 1:-58.67567568 2:-70.04975124 3:0
3 1:-58.93333333 2:-74.75 3:0
3 1:-57.6 2:-72.4 3:0
3 1:-48.85714286 2:-62.84210526 3:0
3 1:-60 2:-76 3:0
2 1:0 2:-86 3:0
3 1:-52.70848708 2:-59.17269076 3:0
2 1:0 2:-76.5 3:-49
2 1:-90 2:0 3:-46
3 1:-67.29411765 2:-70.16666667 3:0
4 1:-72 2:-84 3:-80
2 1:0 2:-80 3:-52.8
3 1:-58 2:-73.6 3:0
4 1:-78.66666667 2:-82.5 3:-84
1 1:-75.33333333 2:-48.01459854 3:-73.14498141
1 1:-67.81395349 2:-39.88764045 3:-69.43421053
3 1:-65.5 2:-72.22222222 3:0
1 1:-74.69090909 2:-58.85714286 3:-78.69230769
3 1:-62 2:-70 3:0
1 1:-83 2:-60.14285714 3:-82
1 1:-68.79674797 2:-55.76851852 3:-78.22340426
1 1:-74.43697479 2:-52.53439153 3:-75.46543779
3 1:-58.03846154 2:-68.06060606 3:-81.10447761
2 1:-86 2:-86 3:-38
2 1:0 2:-86 3:-56
4 1:-76.77777778 2:-75.71428571 3:-79
3 1:-56.19879518 2:-56.60913706 3:0
2 1:0 2:-78.5 3:-56.63888889
3 1:-55.83333333 2:-72.90909091 3:0
4 1:0 2:-72.66666667 3:0
1 1:-74.66666667 2:-47.83333333 3:-79.2
1 1:-77.55555556 2:-51.8125 3:-75.77777778
4 1:-71.75 2:-79.84615385 3:0
3 1:-54.49101796 2:-63.84455959 3:-85.48314607
1 1:-77.80952381 2:-53.26984127 3:-80.8125
2 1:0 2:-74 3:-46.07692308
1 1:-73.47663551 2:-54.76923077 3:-82.14516129
